id,name,abbreviation
1,BOFU,BOFU
2,BOFU-Inbound,BOFU-INB
3,MOFU,MOFU
4,MOFU-Inbound,MOFU-INB
5,N\A,X
6,TOFU,TOFU
7,TOFU-Inbound,TOFU-INB
