id,name,abbreviation
1,Coste Fijo,CF
2,CPA,CPA
3,CPC,CPC
4,CPC-DEAL,CPC-DEAL
5,CPL,CPL
6,CPM,CPM
7,CPM-DEAL,CPM-DEAL
8,CPV,CPV
9,CPV-DEAL,CPV-DEAL
10,Mix,Mix
11,SinCoste,SinCoste
