id,name,abbreviation
1,Brand-Alcance,BRAND
2,Inscripción,INSC
3,LeadCorto,LCORT
4,LeadGen,LG
5,LeadWeb,LWEB
6,Llamada,CALL
7,Matricula,MAT
8,Prueba,PRU
9,Reactivación,REACT
10,Reputacion,REP
11,Tráfico,TRA
12,Views,VIEW
