id,name,abbreviation
1,Comunicación,COM
2,Dialogos,DIAG
3,Especifica,ESP
4,Evento Genérico,EVE-GEN
5,Generica,GEN
6,Jornadas Y Congresos,JCONG
7,N\A,X
8,Openclass,OPCL
9,Prueba,PRU
10,Seminario,SEMI
11,Sesiones Informativas,JOPA
