id,name,abbreviation
151,PMP,PMP
152,PRECIO,PRECIO
153,PRECIO-DESDE,PRECIO-DESDE
154,PRISA,PRISA
155,SALIDA-PROFESIONAL,SALIDA-PROFESIONAL
156,SOCIALES,SCL
157,SOCIALES-V1,SCL-V1
158,SOCIALES-V2,SCL-V2
159,SPOT ANDREA,SPOT-ANDREA
160,SPOT SOFIA ,SPOT-SOFIA
161,SPOT SOFIA2,SPOT-SOFIA2
162,SPOT ,SPOT
163,SPOT2,SPOT2
164,TEA,TEA
165,TESTIMONIAL,TESTIMONIAL
166,TESTIMONIAL-V1,TESTIMONIAL-V1
167,TESTIMONIAL-V2,TESTIMONIAL-V2
168,TESTIMONIAL-V3,TESTIMONIAL-V3
169,TESTIMONIAL-V4,TESTIMONIAL-V4
170,TITULO,TITULO
171,TRASTORNOS,TRASTORNOS
172,ULTIMAS-PLAZAS,ULTIMAS-PLAZAS
173,V1,V1
174,V2,V2
175,V3,V3
