idEstudioNormalizadoBI,EstudioNormalizadoBI,idCurso
569,Avances en Oncología y Hematología Pediátrica,183850
569,Avances en Oncología y Hematología Pediátrica,183850
570,Arbitraje Internacional,184153
572,Atención Temprana y Desarrollo Infantil,184676
576,Pregrado en Marketing y Publicidad,185516
573,Pregrado en Administración de la Seguridad y Salud en el Trabajo,185517
574,Especialización en Alta Gerencia,185518
578,Comunicación Transmedia,185975
579,Inteligencia de Marketing,185976
580,Comunicación y Visualización de Datos,185977
4,Adaptación de trabajo social,18802
194,Máster en Ciberseguridad,19050
585,Diseño y Desarrollo de Videojuegos,191197
586,Programa en el Futuro de Latam,191386
587,E.A. en Finanzas para Directivos,191387
589,E.U. en Modelado y Animación 3D,191388
588,Programa Avanzado en Legaltech,191390
601,C.U.Instrumentos de Evaluación en educación,196551
151,Maestría en Dirección y Administración de Empresas,196722
602,E.A. en Direccion y Gestión de Universidades,198821
603,Especialización en Dirección y Gestión de Proyectos,198822
58,MBA,19921
12,C.C. Enseñanza de Lengua y Literatura,20127
605,Máster en Gestión en Farmacia Comunitaria,202024
606,Publicidad,203811
607,Derecho Penal Internacional y Transnacional,205876
620,Programa de Dirección de Empresas Alimentarias,207737
31,Criminología,20985
111,Ejercicio profesional de la abogacía,20987
333,"Maestría en Aprendizaje, Cognición y Desarrollo Educativo",210169
664,Retórica y Oratoria,216803
665,Diseño y Producción Multimedia,217130
668,People Analytics y Big Data en Recursos Humanos,217642
669,Máster de F.P. en Derecho Deportivo,217644
670,Máster de F.P. en Preparación Física y Readaptación Deportiva al Fútbol,217645
671,Comercio Electrónico,218185
672,Gestión de Riesgos Financieros,218186
674,Negocios Digitales / Digital Business,218813
676,C.U. Introducción a la Robótica Creativa,220546
677,C.U. Desarrollo del Pensamiento Creativo,220547
678,C.U.Resolución de Conflictos en el Aula,220548
679,C.U. Educación en competencias digitales,220549
680,C.U. Evaluación por Competencias,220550
682,P.A. en DevOps & Cloud,220551
681,E.U en Marketing Educativo y Comunicación,221167
59,Dirección de Procesos Estratégicos,221168
683,"Programa en CRO, UX y Analytics",222420
684,Programa en Marketing Automation,222421
685,Programa en People Analytics & HR Analytics,222422
686,Máster de F.P. en Liderazgo y Desarrollo Personal,222423
687,Programa en Reputación Corporativa y Liderazgo,222424
689,E.U. en Trastorno del Espectro Autista,224733
690,Máster en Interpretación y Composición de Jazz y Música Moderna,225483
690,Máster en Interpretación y Composición de Jazz y Música Moderna,225483
691,Máster de F.P. en Estudios Bíblicos,225484
692,Máster en Orígenes del Cristianismo,225485
693,Máster en Fotografía de Eventos,225486
694,Dirección y Gestión de Tecnologías de la Información,225489
695,Cooperación Internacional al Desarrollo,225566
696,Pedagogía Musical,225567
17,Máster de F.P. en Mediación y Gestión de Conflictos,22613
2,Adaptación ADE,22890
699,Programa en Metodología OKR,230086
702,E.U. en Postproducción Digital,230116
956,Máster de F.P. en Metodologías Ágiles,230117
704,Especialización en Gestión de la Seguridad y Salud en el Trabajo,231714
705,Licenciatura en Educación Infantil,231715
788,Executive Program en CHO,231720
707,Máster en Marketing Deportivo,231723
708,E.U. en Preparación Física en Fútbol,231731
710,Máster en Fotografía Publicitaria,231915
718,E.U. en Digital Marketing 360º,231963
719,E.U. en Readaptación Deportiva en Fútbol,231964
720,Asesoramiento Financiero y Bancario,231969
725,P.A. en Comunicación Estratégica Corporativa,232202
189,Psicopedagogía,23233
726,Pregrado en Negocios Internacionales,232721
731,C.U. Transformación Digital del aprendizaje,233104
733,Programa en Compliance Laboral y Planes de Igualdad,235610
58,MBA,247330
187,Psicología,24879
737,Esp. en UX & Research,253573
738,Esp. en UX,253577
137,Ingeniería Informática,25380
741,C.U. Orientación Educativa y Familiar,255285
807,C.U. Gestión de Centros Escolares,255286
750,Pregrado en Administración en Salud,257237
751,D.G. en Marketing y ADE,257701
752,Escritura Creativa,257702
3,Adaptacion de educación social,25829
7,Administración y Dirección de Empresas,258990
753,Educación del Carácter y Educación Emocional,258991
754,Derecho Ambiental,259110
755,Derecho Corporativo Colombiano,259111
756,Ciberdelincuencia,259112
758,E.U. en UX&Research,260238
91,Programa Prof. en Inteligencia Emocional,26027
91,Programa Prof. en Inteligencia Emocional,26027
